"Level.ft.corrected","Discharge.cfs"
-0.1398,NA
-0.0601989898989899,NA
0.0194020202020202,0.00186659367900681
0.0990030303030303,0.104568575789274
0.17860404040404,0.449107629677585
0.25820505050505,1.11622133679734
0.337806060606061,2.16780121374018
0.417407070707071,3.65598319494509
0.497008080808081,5.62662462410424
0.576609090909091,8.12110131742719
0.656210101010101,11.1773828354372
0.735811111111111,14.8307369671088
0.815412121212121,19.1142210859439
0.895013131313131,24.0590410003807
0.974614141414141,29.694822475276
1.05421515151515,36.04982253553
1.13381616161616,43.1510977163134
1.21341717171717,51.0246406054979
1.29301818181818,59.6954924485966
1.37261919191919,69.1878372987319
1.4522202020202,79.5250816792858
1.53182121212121,90.7299226940871
1.61142222222222,102.824406797804
1.69102323232323,115.829980922955
1.77062424242424,129.767537283614
1.85022525252525,144.657452896801
1.92982626262626,160.519624652283
2.00942727272727,177.373500600935
2.08902828282828,195.238108007567
2.16862929292929,214.13207861694
2.2482303030303,234.073671504789
2.32783131313131,255.080793824332
2.40743232323232,277.171019709288
2.48703333333333,300.36160755428
2.56663434343434,324.669515860638
2.64623535353535,350.111417808552
2.72583636363636,376.703714694055
2.80543737373737,404.462548350556
2.88503838383838,433.403812658918
2.96463939393939,463.543164236789
3.0442404040404,494.896032386631
3.12384141414141,527.477628372253
3.20344242424242,561.302954085488
3.28304343434343,596.386810157532
3.36264444444444,632.743803563375
3.44224545454545,670.388354762478
3.52184646464646,709.334704414223
3.60144747474747,749.596919702669
3.68104848484848,791.188900301613
3.7606494949495,834.12438400788
3.84025050505051,878.416952068031
3.91985151515151,924.080034221295
3.99945252525252,971.126913479371
4.07905353535353,1019.57073066188
4.15865454545455,1069.42448870456
4.23825555555556,1120.70105675575
4.31785656565657,1173.41317407547
4.39745757575758,1227.57345375007
4.47705858585859,1283.19438623437
4.5566595959596,1340.28834273239
4.63626060606061,1398.8675784266
4.71586161616162,1458.9442355651
4.79546262626263,1520.53034641527
4.87506363636364,1583.63783609183
4.95466464646465,1648.27852526657
5.03426565656566,1714.46413276667
5.11386666666667,1782.20627806775
5.19346767676768,1851.51648368769
5.27306868686869,1922.40617748641
5.3526696969697,1994.88669487696
5.43227070707071,2068.96928095235
5.51187171717172,2144.66509253275
5.59147272727273,2221.98520013705
5.67107373737374,2300.94058988262
5.75067474747475,2381.54216531691
5.83027575757576,2463.80074918427
5.90987676767677,2547.72708513104
5.98947777777778,2633.33183935202
6.06907878787879,2720.62560218098
6.1486797979798,2809.61888962788
6.22828080808081,2900.32214486524
6.30788181818182,2992.74573966603
6.38748282828283,3086.89997579518
6.46708383838384,3182.79508635678
6.54668484848485,3280.44123709901
6.62628585858586,3379.84852767852
6.70588686868687,3481.02699288602
6.78548787878788,3583.98660383476
6.86508888888889,3688.73726911343
6.9446898989899,3795.28883590493
7.02429090909091,3903.65109107243
7.10389191919192,4013.83376221399
7.18349292929293,4125.84651868711
7.26309393939394,4239.69897260424
7.34269494949495,4355.4006798005
7.42229595959596,4472.96114077462
7.50189696969697,4592.38980160419
7.58149797979798,4713.69605483608
7.66109898989899,4836.88924035305
7.7407,4961.97864621746
